{{Passive skill
|id                                  = dual_wield_damage688
|int_id                              = 49547
|name                                = Dual Wield Damage and Block
|icon                                = damagedualwield
|stat1_id                            = attack_skills_damage_+%_while_dual_wielding
|stat1_value                         = 8
|stat2_id                            = block_while_dual_wielding_%
|stat2_value                         = 2
|stat_text                           = [[Attack]] [[Skill|Skills]] deal 8% increased Damage while [[Dual Wield|Dual Wielding]]<br>+2% Chance to [[Block]] [[Attack Damage]] while [[Dual Wield|Dual Wielding]]
|connections                         = dual_damage_speed1816,dual_damage_block1817,dexterity840
}}
