{{Mod
|id                               = AddedPhysicalSpellDamageDelve___
|mod_groups                       = SpellAddedPhysicalDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 60
|name                             = Subterranean
|mod_type                         = SpellAddedPhysicalDamage
|stat_text                        = Adds (11-22) to (34-46) [[Physical Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_physical_damage
|stat1_min                        = 11
|stat1_max                        = 22
|stat2_id                         = spell_maximum_added_physical_damage
|stat2_min                        = 34
|stat2_max                        = 46
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = physical_damage, caster_damage, damage, physical, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
