{{Item
|rarity_id                               = normal
|name                                    = Loyalty Tattoo of Kaom
|class_id                                = StackableCurrency
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 1
|tags                                    = currency, default
|metadata_id                             = Metadata/Items/Currency/AncestralTattooNgamahu6
|stack_size                              = 10
|help_text                               = Right click this item then left click an allocated Passive Skill. Maximum 50 Tattoos.
|stack_size_currency_tab                 = 5000
|tattoo_target                           = Small Strength
|tattoo_tribe                            = 0
|tattoo_limit                            = 1 Loyalty Tattoo
|tattoo_skill_id                         = TriggerSummonedAncestorKaom
|description                             = Trigger [[Level|level]] 1 [[Skill:TriggerSummonedAncestorKaom|Summon Spirit of Kaom]] [[Skill]] when a [[Totem]] dies while a Unique Enemy is [[In your presence|in your Presence]]
}}
