{{Mod
|id                               = NearbyAlliesCannotBeSlowedUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_buff_id                  = high_templar_unique_aura_cannot_be_slowed
|granted_buff_value               = 50
|mod_groups                       = CannotBeSlowedBelowBase
|mod_type                         = NearbyAlliesCannotBeSlowed
|game_mode                        = 0
|stat_text                        = {{Radius||5.0m}} Allies' Action Speed cannot be modified to below Base Value
|stat1_id                         = local_display_nearby_allies_action_speed_cannot_be_reduced_below_base
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = speed
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
