{{Mod
|id                               = DecayOnHitEssence1
|mod_groups                       = DecayOnHit
|domain                           = 1
|generation_type                  = 2
|required_level                   = 63
|name                             = of the Essence
|mod_type                         = DecayOnHit
|stat_text                        = Your [[Hit|Hits]] inflict Decay, dealing 700 [[Chaos Damage]] per second for 8 seconds
|stat1_id                         = deal_1000_chaos_damage_per_second_for_10_seconds_on_hit
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = chaos_damage, damage, chaos
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
