{{Mod
|id                               = SynthesisImplicitFasterPoisonWeapon2__
|mod_groups                       = FasterDamageAilments
|domain                           = 1
|generation_type                  = 3
|required_level                   = 48
|mod_type                         = FasterPoisonDamage
|stat_text                        = [[Poison|Poisons]] you inflict deal Damage (30-35)% faster
|stat1_id                         = faster_poison_%
|stat1_min                        = 30
|stat1_max                        = 35
|tags                             = chaos_damage, poison, damage, chaos, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
