{{Passive skill
|id                                  = AscendancyCustomGladiator7
|int_id                              = 62445
|name                                = Risky Exploit
|ascendancy_class                    = Gladiator
|is_notable                          = True
|icon                                = BoldUndertaking (AtlasTrees)
|stat1_id                            = enemy_hits_%_chance_to_treat_elemental_resistances_as_90%
|stat1_value                         = 50
|stat2_id                            = base_resist_all_elements_%
|stat2_value                         = -25
|stat_text                           = 50% chance for [[Elemental Resistance|Elemental Resistances]] to count as being 90% against Enemy [[Hit|Hits]]<br>-25% to all [[Elemental Resistance|Elemental Resistances]]
}}
