{{Mod
|id                               = NecropolisIncreasedCriticalStrikes6
|mod_groups                       = NecropolisIncreasedCriticalStrikes
|domain                           = 36
|generation_type                  = 34
|required_level                   = 84
|mod_type                         = NecropolisIncreasedCriticalStrikes
|stat_text                        = All [[Hit|hits]] are [[Critical strike|Critical Strikes]]<br>+100% to Global [[Critical Strike Multiplier]]
|stat1_id                         = always_crit
|stat1_min                        = 1
|stat1_max                        = 1
|stat2_id                         = base_critical_strike_multiplier_+
|stat2_min                        = 100
|stat2_max                        = 100
|stat3_id                         = monster_necropolis_mod_value_+%
|stat3_min                        = 300
|stat3_max                        = 300
|spawn_weight1_tag                = default
|spawn_weight1_value              = 200
}}
