{{Mod
|id                               = SynthesisImplicitTauntOnHitJewel2_
|mod_groups                       = TauntOnHit
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AttacksTauntOnHitChance
|stat_text                        = (3-4)% chance to Taunt Enemies on [[Hit]] with [[Attack|Attacks]]
|stat1_id                         = attacks_chance_to_taunt_on_hit_%
|stat1_min                        = 3
|stat1_max                        = 4
|tags                             = attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
