{{Mod
|id                               = UnarmedStrikeRangeUniqueJewel__1_
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = UnarmedRange
|mod_type                         = UnarmedRange
|game_mode                        = 0
|stat_text                        = +(0.3-0.4) metres to Melee Strike Range with Unarmed [[Attack|Attacks]]
|stat1_id                         = melee_range_+_while_unarmed
|stat1_min                        = 3
|stat1_max                        = 4
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
