{{Base item
|rarity_id                               = normal
|name                                    = Luminous Astrolabe
|class_id                                = QuestItem
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 1
|tags                                    = default
|metadata_id                             = Metadata/Items/QuestItems/Act11/CleansingFireMapDeviceAlteration
|description                             = Allows you to pursue The Searing Exarch by adding its influence to a map from your Map Device.
|help_text                               = Use this item on the Map Device in your Hideout to attach the Luminous Astrolabe.
}}
