{{Mod
|id                               = DelveGlovesManaGainPerTarget1
|mod_groups                       = ManaGainPerTarget
|domain                           = 16
|generation_type                  = 2
|required_level                   = 1
|name                             = of the Underground
|mod_type                         = ManaGainPerTarget
|stat_text                        = Gain (2-4) [[Mana]] per Enemy [[Hit]] with [[Attack|Attacks]]
|stat1_id                         = mana_gain_per_target
|stat1_min                        = 2
|stat1_max                        = 4
|spawn_weight1_tag                = abyss_jewel
|spawn_weight1_value              = 0
|spawn_weight2_tag                = jewel
|spawn_weight2_value              = 0
|spawn_weight3_tag                = gloves
|spawn_weight3_value              = 2000
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
|tags                             = resource, mana, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
