{{Mod
|id                               = SanctumSpecialAuraEffect
|mod_groups                       = AuraEffect
|domain                           = 32
|generation_type                  = 1
|required_level                   = 82
|name                             = Empowering
|mod_type                         = AuraEffect
|stat_text                        = (10-15)% increased effect of Non-Curse Auras from your [[Skill|Skills]]
|stat1_id                         = non_curse_aura_effect_+%
|stat1_min                        = 10
|stat1_max                        = 15
|spawn_weight1_tag                = str_special_relic
|spawn_weight1_value              = 200
|spawn_weight2_tag                = default
|spawn_weight2_value              = 50
|tags                             = aura
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
