{{Area
|id                               = MapAtlasPlateau
|name                             = Plateau
|act                              = 11
|area_level                       = 79
|area_type_tags                   = mountain
|tags                             = map, area_with_water, einharmaps, map_area_with_open_water, ocean_area, windy_area, totem_boss_area
|loading_screen                   = Maps
|parent_area_id                   = 2_11_endgame_town
|boss_monster_ids                 = Metadata/Monsters/Totems/TotemMapBossColdPlateau, Metadata/Monsters/Totems/TotemMapBossLightningPlateau
|entry_text                       = Steep cliffs divide where the trees may grow, and where they may not.
|entry_npc                        = The Shaper
|is_map_area                      = True
|main_page                        = Plateau Map
}}
