{{Mod
|id                               = SanctumSpecialIgniteProliferation
|mod_groups                       = GlobalIgniteProlif
|domain                           = 32
|generation_type                  = 1
|required_level                   = 75
|name                             = Incendiary
|mod_type                         = GlobalIgniteProlif
|stat_text                        = [[Ignite|Ignites]] you inflict spread to other Enemies within 1.6 metres
|stat1_id                         = gloves_ignite_proliferation_radius
|stat1_min                        = 16
|stat1_max                        = 16
|spawn_weight1_tag                = str_special_relic
|spawn_weight1_value              = 200
|spawn_weight2_tag                = default
|spawn_weight2_value              = 50
|tags                             = elemental, fire, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
