{{Mod
|id                               = CritsHaveCullingStrikeUber1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = CritsHaveCullingStrike
|mod_type                         = CritsHaveCullingStrike
|game_mode                        = 0
|stat_text                        = [[Critical strike|Critical Strikes]] with this Weapon have Culling Strike
|stat1_id                         = local_crits_have_culling_strike
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = dagger_shaper
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = influence_mod, attack, critical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
