{{Passive skill
|id                                  = AscendancyAscendant37
|int_id                              = 12597
|name                                = Occultist
|reminder_text                       = (You can only take one of the three Witch Ascendancy passives)
|ascendancy_class                    = Ascendant
|is_multiple_choice_option           = True
|icon                                = Occultist (Ascendants)
|stat1_id                            = number_of_additional_curses_allowed
|stat1_value                         = 1
|stat2_id                            = base_energy_shield_regeneration_rate_per_minute_%
|stat2_value                         = 90
|stat3_id                            = curse_effect_+%
|stat3_value                         = 10
|stat4_id                            = occultist_immune_to_stun_while_has_energy_shield
|stat4_value                         = 1
|stat_text                           = You can apply an additional [[Curse]]<br>Regenerate 1.5% of [[Energy Shield]] per second<br>10% increased Effect of your [[Curse|Curses]]<br>Cannot Be Stunned while you have [[Energy Shield]]
|connections                         = AscendancyAscendant27
}}
