{{Mod
|id                               = AuraEffectEldritchImplicit2
|mod_groups                       = AuraEffect
|domain                           = 1
|generation_type                  = 28
|required_level                   = 75
|mod_type                         = AuraEffect
|stat_text                        = (11-12)% increased effect of Non-Curse Auras from your [[Skill|Skills]]
|stat1_id                         = non_curse_aura_effect_+%
|stat1_min                        = 11
|stat1_max                        = 12
|spawn_weight1_tag                = no_tier_5_eldritch_implicit
|spawn_weight1_value              = 0
|spawn_weight2_tag                = body_armour
|spawn_weight2_value              = 500
|spawn_weight3_tag                = amulet
|spawn_weight3_value              = 500
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
|tags                             = aura
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
