{{Mod
|id                               = CannotBePoisonedEssence1
|mod_groups                       = CannotBePoisoned
|domain                           = 1
|generation_type                  = 2
|required_level                   = 63
|name                             = of the Essence
|mod_type                         = CannotBePoisoned
|stat_text                        = Cannot be [[Poison|Poisoned]]
|stat1_id                         = cannot_be_poisoned
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = poison, chaos, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
