{{Item
|rarity_id                               = normal
|name                                    = Blessing of Esh
|class_id                                = StackableCurrency
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 1
|tags                                    = breach_blessing, currency, default
|metadata_id                             = Metadata/Items/Currency/CurrencyBreachUpgradeUniqueLightning
|stack_size                              = 10
|description                             = Upgrades a breach unique item or breachstone to a more powerful version
|help_text                               = Right click this item then left click an applicable breach unique item to upgrade it.
|stack_size_currency_tab                 = 5000
}}
