{{Passive skill
|id                                  = AscendancyCustomSaboteur18
|int_id                              = 61246
|name                                = Within the Tempest
|ascendancy_class                    = Saboteur
|is_notable                          = True
|icon                                = TempestNotable1 (AtlasTrees)
|stat1_id                            = shock_proliferation_radius_is_at_least_15
|stat1_value                         = 1
|stat2_id                            = enemy_shock_on_kill
|stat2_value                         = 1
|stat_text                           = [[Shock|Shocks]] you inflict spread to other Enemies within 1.5 metres<br>Enemies you [[Kill|kill]] are [[Shock|Shocked]]
}}
