{{Passive skill
|id                                  = spell_dot_notable_2982
|int_id                              = 27623
|name                                = Harsh Lessons
|is_notable                          = True
|icon                                = CombatFocusNotable
|stat1_id                            = damage_over_time_multiplier_+_with_spells
|stat1_value                         = 12
|stat2_id                            = base_all_ailment_duration_on_self_+%
|stat2_value                         = -20
|stat_text                           = +12% to Damage Over Time Multiplier with [[Spell]] [[Skill|Skills]]<br>20% reduced Duration of Ailments on You
|connections                         = mastery_damageovertime303,spell_dot_2979,spell_dot_2980
}}
