{{Mod
|id                               = TinctureApplyWitherStacks1
|mod_groups                       = WeaponApplyWitherStacksOnHit
|domain                           = 34
|generation_type                  = 1
|required_level                   = 45
|name                             = Wilting
|mod_type                         = WeaponApplyWitherStacksOnHit
|stat_text                        = [[Hit|Hits]] Inflict (2-3) Withered Debuffs for 2 seconds on Enemies that are on [[Full Life]]
|stat1_id                         = apply_X_wither_stacks_for_2_seconds_vs_enemies_that_are_on_full_life_with_weapons
|stat1_min                        = 2
|stat1_max                        = 3
|spawn_weight1_tag                = tincture
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = chaos, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
