{{Mod
|id                               = AuraEffectBodyInfluenceMaven
|mod_groups                       = AuraEffect
|domain                           = 1
|generation_type                  = 2
|required_level                   = 90
|name                             = of Elevated Redemption
|mod_type                         = AuraEffect
|stat_text                        = (26-30)% increased effect of Non-Curse Auras from your [[Skill|Skills]]
|stat1_id                         = non_curse_aura_effect_+%
|stat1_min                        = 26
|stat1_max                        = 30
|spawn_weight1_tag                = body_armour_eyrie
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = aura
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
