{{Mod
|id                               = JunMasterReduceGlobalFlatManaCost2
|mod_groups                       = IncreaseFlatManaCost
|domain                           = 9
|generation_type                  = 1
|required_level                   = 25
|name                             = Elreon's
|mod_type                         = IncreaseManaCostFlat
|stat_text                        = -(5-4) to Total [[Mana]] Cost of [[Skill|Skills]]
|stat1_id                         = skill_mana_cost_+
|stat1_min                        = -5
|stat1_max                        = -4
|spawn_weight1_tag                = ring
|spawn_weight1_value              = 0
|spawn_weight2_tag                = amulet
|spawn_weight2_value              = 0
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = resource, unveiled_mod, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
