{{Base item
|rarity_id                               = normal
|name                                    = Brother's Gift
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Even though his flame has burned out,<br>he will never fade away.
|drop_level                              = 68
|tags                                    = currency_divination, currency_basic_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardBrothersGift
|stack_size                              = 1
|description                             = {{c|currency|5x {{il|html=|Divine Orb}}}}
|stack_size_currency_tab                 = 5000
}}
