{{Passive skill
|id                                  = affliction_notable_lightnings_call
|int_id                              = 17662
|name                                = Tempt the Storm
|is_notable                          = True
|icon                                = CurseEffectNotable
|stat1_id                            = lightning_weakness_ignores_hexproof
|stat1_value                         = 1
|stat2_id                            = shock_effect_against_cursed_enemies_+%
|stat2_value                         = 30
|stat_text                           = [[Conductivity]] can affect Hexproof Enemies<br>30% increased Effect of [[Shock|Shocks]] you inflict on Cursed Enemies
}}
