{{Item
|rarity_id                               = normal
|name                                    = Blight Scarab of the Blightheart
|class_id                                = MapFragment
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = The core grows larger with each cycle, doomed to spill forth...
|drop_level                              = 73
|tags                                    = scarab, scarab_grants_extra_content, blight_scarab, rare_scarab, default
|metadata_id                             = Metadata/Items/Scarabs/ScarabBlightNew3
|help_text                               = Can be used in a personal Map Device to add modifiers to a Map.
|stack_size                              = 20
|description                             = Blight Encounters in Area have one Blighted Chest<br>Blight Encounters in Area spawn many more waves of Enemies<br>Blighted Chests in Area grow larger and more<br>rewarding the more Blighted Enemies are slain
|stack_size_currency_tab                 = 5000
|map_fragment_limit                      = 1
|map_fragment_bonus1                     = ScarabBlightNew3
}}
