{{Mod
|id                               = LocalIgnorePhysReductionImplicitE2
|mod_groups                       = ArmourPenetration
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = LocalArmourPenetration
|stat_text                        = [[Hit|Hits]] with this Weapon have 50% chance to ignore Enemy [[Physical Damage]] Reduction
|stat1_id                         = local_hits_ignore_enemy_monster_physical_damage_reduction_%_chance
|stat1_min                        = 50
|stat1_max                        = 50
|tags                             = physical_damage, damage, physical, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
