{{Mod
|id                               = VillageAttacksCostLife
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = AttacksHaveBloodMagic
|mod_type                         = AttacksHaveBloodMagic
|game_mode                        = 0
|stat_text                        = [[Attack|Attacks]] Cost [[Life]] instead of [[Mana]]
|stat1_id                         = attacks_use_life_in_place_of_mana
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = village_runesmithing_enchant, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
