{{Passive skill
|id                                  = dual_wield_critical_strike_chance1034
|int_id                              = 5622
|name                                = Dual Wield Critical Strike Multiplier and Accuracy
|icon                                = criticalstrikemultiplier2
|stat1_id                            = accuracy_rating_while_dual_wielding_+%
|stat1_value                         = 8
|stat2_id                            = critical_strike_multiplier_while_dual_wielding_+
|stat2_value                         = 10
|stat_text                           = 8% increased [[Accuracy Rating]] while [[Dual Wield|Dual Wielding]]<br>+10% to [[Attack]] [[Critical Strike Multiplier]] while [[Dual Wield|Dual Wielding]]
|connections                         = dual_wield_critical_strike_chance1035,dual_wield_critical_strike_chance1035,twin_terrors1030
}}
