{{Mod
|id                               = SanctumSpecialSpellAddedColdDamage
|mod_groups                       = SpellAddedElementalDamage
|domain                           = 32
|generation_type                  = 1
|required_level                   = 75
|name                             = Entombing
|mod_type                         = SpellAddedColdDamage
|stat_text                        = Adds (13-16) to (25-30) [[Cold Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_cold_damage
|stat1_min                        = 13
|stat1_max                        = 16
|stat2_id                         = spell_maximum_added_cold_damage
|stat2_min                        = 25
|stat2_max                        = 30
|spawn_weight1_tag                = int_special_relic
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 250
|tags                             = elemental_damage, caster_damage, damage, elemental, cold, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
