{{Mod
|id                               = CurseRadiusJewel
|mod_groups                       = CurseAreaOfEffect
|domain                           = 10
|generation_type                  = 2
|required_level                   = 1
|name                             = Hexing FIX ME
|mod_type                         = CurseRadiusForJewel
|stat_text                        = (8-10)% increased Area of Effect of Hex [[Skill|Skills]]
|stat1_id                         = curse_area_of_effect_+%
|stat1_min                        = 8
|stat1_max                        = 10
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
