{{Mod
|id                               = LoseAllChargesOnMoveUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = LoseAllChargesOnMove
|mod_type                         = LoseAllChargesOnMove
|game_mode                        = 0
|stat_text                        = Count as having maximum number of [[Endurance Charge|Endurance Charges]]<br />Count as having maximum number of [[Frenzy Charge|Frenzy Charges]]<br />Count as having maximum number of [[Power Charge|Power Charges]]
|stat1_id                         = count_as_having_max_endurance_frenzy_power_charges
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = endurance_charge, frenzy_charge, power_charge
}}
