{{Mod
|id                               = SynthesisImplicitAvoidCold1
|mod_groups                       = ColdDamageAvoidance
|domain                           = 1
|generation_type                  = 3
|required_level                   = 60
|mod_type                         = ColdDamageAvoidance
|stat_text                        = (3-5)% chance to Avoid [[Cold Damage]] from [[Hit|Hits]]
|stat1_id                         = avoid_cold_damage_%
|stat1_min                        = 3
|stat1_max                        = 5
|tags                             = elemental, cold
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
