{{Item
|rarity_id                               = normal
|name                                    = Runic Luck
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = If you believe hard enough,<br>you'll win.
|drop_level                              = 1
|tags                                    = currency_divination, currency_league_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardRunicLuck
|stack_size                              = 4
|description                             = {{c|currency|10x Vendor Refresh Currency}}
|stack_size_currency_tab                 = 5000
}}
