{{Mod
|id                               = IncreasedFlaskEffectUniqueJewel45
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = FlaskEffect
|mod_type                         = FlaskEffect
|game_mode                        = 0
|stat_text                        = [[Flask|Flasks]] applied to you have 8% increased Effect
|stat1_id                         = flask_effect_+%
|stat1_min                        = 8
|stat1_max                        = 8
|tags                             = flask
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
