{{Mod
|id                               = WeaponTreeSupportUrgentOrdersHardMode
|mod_groups                       = WeaponTreeSupportUrgentOrders
|domain                           = 1
|generation_type                  = 31
|required_level                   = 38
|granted_skill                    = SupportUrgentOrders
|mod_type                         = WeaponTreeSupportUrgentOrders
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Level]] 25 Urgent Orders
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_urgent_orders
|stat1_min                        = 25
|stat1_max                        = 25
|spawn_weight1_tag                = ranged
|spawn_weight1_value              = 0
|spawn_weight2_tag                = one_hand_weapon
|spawn_weight2_value              = 25
|spawn_weight3_tag                = shield
|spawn_weight3_value              = 25
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
}}
