{{Mod
|id                               = HellscapeUpsideCurseEffect3_
|mod_groups                       = CurseEffectiveness
|domain                           = 1
|generation_type                  = 24
|required_level                   = 68
|mod_type                         = CurseEffectiveness
|stat_text                        = (9-10)% increased Effect of your [[Curse|Curses]]
|stat1_id                         = curse_effect_+%
|stat1_min                        = 9
|stat1_max                        = 10
|spawn_weight1_tag                = shield
|spawn_weight1_value              = 200
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
