{{Mod
|id                               = EinharMasterAddedColdDamageQuiver1__
|mod_groups                       = ColdDamage
|domain                           = 9
|generation_type                  = 1
|required_level                   = 20
|name                             = Upgraded
|mod_type                         = ColdDamage
|stat_text                        = Adds (9-11) to (16-21) [[Cold Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_cold_damage
|stat1_min                        = 9
|stat1_max                        = 11
|stat2_id                         = attack_maximum_added_cold_damage
|stat2_min                        = 16
|stat2_max                        = 21
|tags                             = elemental_damage, damage, elemental, cold, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
