{{Passive skill
|id                                  = affliction_notable_strike_leader
|int_id                              = 12806
|name                                = Strike Leader
|is_notable                          = True
|icon                                = BlockAttackDmgNotable
|stat1_id                            = additional_block_%
|stat1_value                         = 2
|stat2_id                            = attack_skills_damage_+%_while_holding_shield
|stat2_value                         = 30
|stat3_id                            = melee_range_+_while_wielding_shield
|stat3_value                         = 2
|stat_text                           = +2% Chance to [[Block]] [[Attack Damage]]<br>[[Attack]] [[Skill|Skills]] deal 30% increased Damage while holding a [[Shield]]<br>+0.2 metres to Melee Strike Range while Holding a [[Shield]]
}}
