{{Mod
|id                               = SupportedByArcaneSurgeWeaponUber1
|mod_groups                       = WeaponSupportUber
|domain                           = 1
|generation_type                  = 1
|required_level                   = 68
|name                             = The Shaper's
|granted_skill                    = SupportArcaneSurge
|mod_type                         = SupportedByArcaneSurgeWeapon
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Arcane Surge Support|Level 1 Arcane Surge]]
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_arcane_surge
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = grants_2h_support
|spawn_weight1_value              = 0
|spawn_weight2_tag                = staff_shaper
|spawn_weight2_value              = 400
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = support, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
