{{Mod
|id                               = SupportedByOnslaughtWeaponUber1
|mod_groups                       = WeaponSupportUber
|domain                           = 1
|generation_type                  = 1
|required_level                   = 68
|name                             = The Elder's
|granted_skill                    = SupportMomentum
|mod_type                         = SupportedByOnslaughtWeapon
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Level]] 10 Momentum
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_onslaught
|stat1_min                        = 10
|stat1_max                        = 10
|spawn_weight1_tag                = grants_2h_support
|spawn_weight1_value              = 0
|spawn_weight2_tag                = 2h_sword_elder
|spawn_weight2_value              = 400
|spawn_weight3_tag                = 2h_axe_elder
|spawn_weight3_value              = 400
|spawn_weight4_tag                = bow_elder
|spawn_weight4_value              = 400
|spawn_weight5_tag                = default
|spawn_weight5_value              = 0
|tags                             = support, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
