{{Item
|rarity_id                               = normal
|name                                    = Kalguuran Scarab of Refinement
|class_id                                = MapFragment
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Ore's true worth lies not in stone, but in what it becomes.
|drop_level                              = 78
|tags                                    = scarab, scarab_grants_extra_content, mythic_scarab, settlers_scarab, default
|metadata_id                             = Metadata/Items/Scarabs/ScarabSettlers3
|help_text                               = Can be used in a personal Map Device to add modifiers to a Map.
|stack_size                              = 20
|description                             = Ore Deposits in Area grant Smelted Bars instead of Marking Ore
|stack_size_currency_tab                 = 5000
|map_fragment_limit                      = 1
|map_fragment_bonus1                     = ScarabSettlers3
}}
