{{Mod
|id                               = OfferingDurationUnique__1
|mod_groups                       = OfferingDuration
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = OfferingDuration
|stat_text                        = Offering [[Skill|Skills]] have 50% reduced Duration
|stat1_id                         = offering_duration_+%
|stat1_min                        = -50
|stat1_max                        = -50
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
