{{Mod
|id                               = MinionLifeWeapon6_
|mod_groups                       = MinionLife
|domain                           = 1
|generation_type                  = 2
|required_level                   = 82
|name                             = of the Despot
|mod_type                         = MinionLife
|stat_text                        = [[Minion|Minions]] have (37-40)% increased maximum [[Life]]
|stat1_id                         = minion_maximum_life_+%
|stat1_min                        = 37
|stat1_max                        = 40
|spawn_weight1_tag                = two_hand_weapon
|spawn_weight1_value              = 0
|spawn_weight2_tag                = focus_can_roll_minion_modifiers
|spawn_weight2_value              = 2000
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = resource, life, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
