{{Base item
|rarity_id                               = normal
|name                                    = Auspicious Ambitions
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = "Gaze upon the mirrors of what may come and step backward into infinity." <br>- Dexion, Thaumetic Aspirant
|drop_level                              = 73
|tags                                    = divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardAuspiciousAmbitions
|stack_size                              = 4
|description                             = {{c|white|Experimented Item}}<br>{{c|default|Item Level:}} {{c|normal|100}}<br>{{c|default|Double-Influenced Item}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
