{{Mod
|id                               = HellscapeDownsideColdPenetration1h2
|mod_groups                       = ColdResistancePenetration
|domain                           = 1
|generation_type                  = 25
|required_level                   = 45
|mod_type                         = ColdResistancePenetration
|stat_text                        = Your [[Hit|Hits]] treat [[Cold Resistance]] as 10% higher than actual value
|stat1_id                         = base_reduce_enemy_cold_resistance_%
|stat1_min                        = -10
|stat1_max                        = -10
|spawn_weight1_tag                = attack_dagger
|spawn_weight1_value              = 0
|spawn_weight2_tag                = amulet
|spawn_weight2_value              = 200
|spawn_weight3_tag                = sceptre
|spawn_weight3_value              = 200
|spawn_weight4_tag                = dagger
|spawn_weight4_value              = 200
|spawn_weight5_tag                = wand
|spawn_weight5_value              = 200
|spawn_weight6_tag                = default
|spawn_weight6_value              = 0
|tags                             = elemental_damage, damage, elemental, cold
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
