{{Mod
|id                               = MinionDamageUniqueWand2
|mod_groups                       = MinionDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinionDamage
|stat_text                        = [[Minion|Minions]] deal (50-70)% increased Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = 50
|stat1_max                        = 70
|tags                             = damage, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
