{{Mod
|id                               = AttackImpaleChanceEldritchImplicit2
|mod_groups                       = ImpaleOnHit
|domain                           = 1
|generation_type                  = 29
|required_level                   = 75
|mod_type                         = AttackImpaleChance
|stat_text                        = 10% chance to Impale Enemies on [[Hit]] with [[Attack|Attacks]]
|stat1_id                         = attacks_impale_on_hit_%_chance
|stat1_min                        = 10
|stat1_max                        = 10
|spawn_weight1_tag                = no_tier_5_eldritch_implicit
|spawn_weight1_value              = 0
|spawn_weight2_tag                = gloves
|spawn_weight2_value              = 700
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = physical, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
