{{Mod
|id                               = SupportedByLessDurationUber1
|mod_groups                       = Supported
|domain                           = 1
|generation_type                  = 1
|required_level                   = 68
|name                             = The Elder's
|granted_skill                    = SupportReducedDuration
|mod_type                         = SupportedByLessDuration
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Less Duration Support|Level 20 Less Duration]]
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_reduced_duration
|stat1_min                        = 20
|stat1_max                        = 20
|spawn_weight1_tag                = helmet_elder
|spawn_weight1_value              = 800
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = support, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
