{{Mod
|id                               = MinionDamageJewel
|mod_groups                       = DamageForm
|domain                           = 10
|generation_type                  = 1
|required_level                   = 1
|name                             = Leadership
|mod_type                         = MinionDamageForJewel
|stat_text                        = [[Minion|Minions]] deal (14-16)% increased Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = 14
|stat1_max                        = 16
|spawn_weight1_tag                = not_int
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 500
|tags                             = damage, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
