{{Mod
|id                               = StrDexMasterWeaponEleDamageCrafted
|mod_groups                       = IncreasedWeaponElementalDamagePercent
|domain                           = 9
|generation_type                  = 1
|required_level                   = 20
|name                             = Catalyzing
|mod_type                         = IncreasedWeaponElementalDamagePercent
|stat_text                        = (8-22)% increased [[Elemental Damage]] with [[Attack]] [[Skill|Skills]]
|stat1_id                         = elemental_damage_with_attack_skills_+%
|stat1_min                        = 8
|stat1_max                        = 22
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental_damage, damage, elemental, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
