{{Item
|rarity_id                               = normal
|name                                    = Squandered Prosperity
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = "Our rulers are being ridiculous, and we are suffering."
|drop_level                              = 81
|tags                                    = jewellery_divination, unique_divination, unique_jewellery_divination, boss_drop_card, corrupted_divination, unique_corrupted_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardSquanderedProsperity
|stack_size                              = 5
|description                             = {{c|unique|{{il|html=|The Light of Meaning}}}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
}}
