{{Mod
|id                               = AbyssAddedLightningSuffixJewel2
|mod_groups                       = AddedLightningSuffix
|domain                           = 13
|generation_type                  = 2
|required_level                   = 44
|name                             = of Electricity
|mod_type                         = AddedLightningSuffix
|stat_text                        = Adds (1-2) to (25-27) [[Lightning Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_lightning_damage
|stat1_min                        = 1
|stat1_max                        = 2
|stat2_id                         = attack_maximum_added_lightning_damage
|stat2_min                        = 25
|stat2_max                        = 27
|spawn_weight1_tag                = abyss_jewel_melee
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = abyss_jewel_ranged
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = elemental_damage, damage, elemental, lightning, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
