{{Passive skill
|id                                  = heart_of_the_panther994
|int_id                              = 38246
|name                                = Presage
|is_notable                          = True
|icon                                = HeraldReservation
|stat1_id                            = area_of_effect_+%_with_herald_skills
|stat1_value                         = 25
|stat2_id                            = herald_skills_mana_reservation_efficiency_+%
|stat2_value                         = 20
|stat_text                           = Herald [[Skill|Skills]] have 25% increased Area of Effect<br>20% increased [[Mana Reservation]] Efficiency of Herald [[Skill|Skills]]
|connections                         = mastery_reservation206,herald_reservation2722,mastery_reservation206
}}
