{{Passive skill
|id                                  = AscendancyCustomChampion7
|int_id                              = 13763
|name                                = Light of Divinity
|buff_id                             = custom_ascendancy_elemental_damage_taken
|ascendancy_class                    = Champion
|is_notable                          = True
|icon                                = OneHandedPhysicalAndLeechNotable
|stat_text                           = {{Radius||6.0m}} Enemies take 25% increased [[Elemental Damage]]
|stat1_id                            = elemental_damage_taken_+%
|stat1_value                         = 25
}}
