{{Mod
|id                               = MaceBonus1
|mod_groups                       = SpecificWeaponBonuses
|domain                           = 1
|generation_type                  = 3
|required_level                   = 5
|name                             = Crusher's
|mod_type                         = MaceBonuses
|stat_text                        = 5% increased [[Physical Damage]] with [[Mace|Maces]] or Sceptres<br>2% increased [[Attack Speed]] with [[Mace|Maces]] or Sceptres<br>3% increased [[Accuracy Rating]] with [[Mace|Maces]] or Sceptres
|stat1_id                         = physical_mace_damage_+%
|stat1_min                        = 5
|stat1_max                        = 5
|stat2_id                         = mace_attack_speed_+%
|stat2_min                        = 2
|stat2_max                        = 2
|stat3_id                         = mace_accuracy_rating_+%
|stat3_min                        = 3
|stat3_max                        = 3
|tags                             = physical_damage, damage, physical, attack, speed
}}
