{{Mod
|id                               = EinharMasterMinionDamageOnWeapon2h3
|mod_groups                       = WeaponCasterDamagePrefix
|domain                           = 9
|generation_type                  = 1
|required_level                   = 75
|name                             = Upgraded
|mod_type                         = MinionDamageOnWeapon
|stat_text                        = [[Minion|Minions]] deal (67-81)% increased Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = 67
|stat1_max                        = 81
|tags                             = damage, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
