{{Mod
|id                               = AddedPhysicalDamageImplicitRing2
|mod_groups                       = PhysicalDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 100
|mod_type                         = PhysicalDamage
|stat_text                        = Adds (3-4) to (10-14) [[Physical Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_physical_damage
|stat1_min                        = 3
|stat1_max                        = 4
|stat2_id                         = attack_maximum_added_physical_damage
|stat2_min                        = 10
|stat2_max                        = 14
|tags                             = physical_damage, damage, physical, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
