{{Passive skill
|id                                  = AscendancySaboteur6
|int_id                              = 14103
|name                                = Calculated Risk
|ascendancy_class                    = Saboteur
|is_notable                          = True
|icon                                = ExplosivesExpert (Saboteur)
|stat1_id                            = base_extra_damage_rolls
|stat1_value                         = -1
|stat2_id                            = extra_critical_rolls
|stat2_value                         = 1
|stat_text                           = Damage with [[Hit|Hits]] is [[Unlucky]]<br>Your [[Critical Strike Chance]] is [[Lucky]]
|connections                         = AscendancySaboteur20,AscendancySaboteur5
}}
