{{Base item
|rarity_id                               = normal
|name                                    = The Tinkerer's Table
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Trying to bring your vision to life is enough to drive you mad.
|drop_level                              = 33
|tags                                    = currency_divination, currency_league_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheTinkerersTable
|stack_size                              = 5
|description                             = {{c|currency|5x Fossil}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
