{{Mod
|id                               = BeltReducedFlaskChargesUsed1
|mod_groups                       = BeltFlaskCharges
|domain                           = 1
|generation_type                  = 2
|required_level                   = 3
|name                             = of Sipping
|mod_type                         = BeltReducedFlaskChargesUsed
|stat_text                        = (20-10)% reduced Flask [[Charge|Charges]] used
|stat1_id                         = flask_charges_used_+%
|stat1_min                        = -20
|stat1_max                        = -10
|spawn_weight1_tag                = belt
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = flask
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
