{{Mod
|id                               = JewelImplicitMinionLife___
|mod_groups                       = JewelImplicitMinionLife
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = JewelImplicitMinionLife
|stat_text                        = [[Minion|Minions]] have (3-5)% increased maximum [[Life]]
|stat1_id                         = minion_maximum_life_+%
|stat1_min                        = 3
|stat1_max                        = 5
|spawn_weight1_tag                = jewel
|spawn_weight1_value              = 1
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = resource, life, minion
}}
